website,web_ip_addr,web_host_comp,web_host_country,web_host_city,World_Site_Popular_Rating
myshopify.com,23.227.38.32,"Shopify, Inc",Canada,None,# 63
overstock.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 2,752"
myfonts.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 2,954"
shopifypreview.com,23.227.38.37,"Shopify, Inc",Canada,None,"# 5,381"
pagefly.io,23.227.38.32,"Shopify, Inc",Canada,None,"# 6,181"
fashionnova.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 8,434"
gymshark.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 9,400"
skims.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 9,835"
snitch.co.in,23.227.38.74,"Shopify, Inc",Canada,None,"# 10,620"
boat-lifestyle.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 11,347"
zulily.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 11,523"
greatergood.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 11,540"
keychron.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 12,426"
fearofgod.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 12,973"
coolermaster.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 14,014"
daisonet.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 14,224"
pimax.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 14,604"
gempages.net,23.227.38.65,"Shopify, Inc",Canada,None,"# 14,680"
wyze.com,23.227.38.33,"Shopify, Inc",Canada,None,"# 16,178"
softwarekeep.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 16,214"
sreeleathers.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 18,746"
louisck.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 18,757"
derimod.com.tr,23.227.38.45,"Shopify, Inc",Canada,None,"# 19,028"
