website,web_ip_addr,web_host_comp,web_host_country,web_host_city
myshopify.com,23.227.38.32,"Shopify, Inc",Canada,none
shopifypreview.com,23.227.38.37,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
cettire.com,23.227.38.74,"Shopify, Inc",Canada,none
aloyoga.com,23.227.38.32,"Shopify, Inc",Canada,none
fashionnova.com,23.227.38.74,"Shopify, Inc",Canada,none
skinnydiplondon.com,23.227.38.74,"Shopify, Inc",Canada,none
ellejamilla.com,23.227.38.32,"Shopify, Inc",Canada,none
valextra.jp,23.227.38.32,"Shopify, Inc",Canada,none
giuliofashion.com,23.227.38.32,"Shopify, Inc",Canada,none
suitnegozi.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
colourpop.com,23.227.38.65,"Shopify, Inc",Canada,none
reduction500.shop,23.227.38.66,"Shopify, Inc",Canada,none
gymshark.com,23.227.38.65,"Shopify, Inc",Canada,none
under510.com,23.227.38.32,"Shopify, Inc",Canada,none
okp.com,23.227.38.65,"Shopify, Inc",Canada,none
amrstore.com,23.227.38.64,"Shopify, Inc",Canada,none
shopshashi.com,23.227.38.32,"Shopify, Inc",Canada,none
pizzainthepost.co.uk,23.227.38.65,"Shopify, Inc",Canada,none
zanerobe.com,23.227.38.74,"Shopify, Inc",Canada,none
vrai.com,23.227.38.32,"Shopify, Inc",Canada,none
mnml.la,23.227.38.64,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
jadedldn.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
mclabels.com,23.227.38.32,"Shopify, Inc",Canada,none
momabikes.com,23.227.38.32,"Shopify, Inc",Canada,none
khattaatt.com,23.227.38.65,"Shopify, Inc",Canada,none
baltini.com,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
tacuiar.com,23.227.38.32,"Shopify, Inc",Canada,none
intimya.co.uk,23.227.38.32,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>"
beeinspiredclothing.com,23.227.38.32,"Shopify, Inc",Canada,none
