website,web_ip_addr,web_host_comp,web_host_country,web_host_city,World_Site_Popular_Rating
myshopify.com,23.227.38.32,"Shopify, Inc",Canada,None,# 29
shopifypreview.com,23.227.38.37,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>",# 621
cettire.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 1,144"
aloyoga.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 2,932"
fashionnova.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 2,976"
ellejamilla.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 3,063"
giuliofashion.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 3,121"
colourpop.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 3,947"
gymshark.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 4,855"
okp.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 5,286"
shopshashi.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 6,454"
zanerobe.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 6,465"
mnml.la,23.227.38.64,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 6,614"
mclabels.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 6,703"
khattaatt.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 7,065"
tacuiar.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 7,090"
beeinspiredclothing.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 7,720"
deodap.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 7,899"
trysnow.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 8,100"
boat-lifestyle.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 8,178"
hunting-pony.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 8,583"
usatuan.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 8,791"
allbirds.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 9,151"
whitefoxboutique.com.au,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 9,156"
vuoriclothing.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 9,498"
rhinoshield.fr,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 10,275"
vicicollection.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 10,291"
westandwillow.com,23.227.38.66,"Shopify, Inc",Canada,None,"# 10,389"
feature.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 10,434"
mrcnoir.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 10,718"
goodhoodstore.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 10,735"
pangolin.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 10,958"
ruggable.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 11,243"
thechinatownmarket.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 11,400"
vapejuicedepot.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 11,971"
zoofashions.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 12,036"
outofthesandbox.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 12,096"
cupshe.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 12,315"
reddress.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 13,199"
fab.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 13,295"
vacalvers.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 13,377"
abbottlyon.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 13,549"
craftdlondon.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 13,589"
burga.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 13,594"
heysilkyskin.com,23.227.38.74,"Shopify, Inc",Canada,None,"# 14,293"
keychron.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 14,335"
ttdeye.com,23.227.38.65,"Shopify, Inc",Canada,"<td align=""left""><a href=""/view/cities/170/IP_Addresses_Ottawa.html"">Ottawa</a></td>","# 14,395"
hanon-shop.com,23.227.38.65,"Shopify, Inc",Canada,None,"# 14,955"
nativeunion.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 14,993"
kuress.com,23.227.38.32,"Shopify, Inc",Canada,None,"# 15,256"
